Egg.ID,Day,rot_mean,rot_var,temp_mean,temp_var,rh_mean,rh_var
07-114-02-15,148,69,0,37.45111111,0.006225926,46.315,0.643125
07-114-02-15,149,67,8,37.45111111,0.016359259,46.22666667,0.434658333
07-114-02-15,150,69,0,37.43333333,0.012033333,47.09833333,1.122408333
07-114-02-15,151,69,0,37.45111111,0.006225926,45.61333333,0.278258333
07-114-02-15,152,69,0,37.46888889,0.002314815,46.31333333,0.298158333
07-114-02-15,153,70,0,37.49666667,0,47.61833333,2.058358333
07-114-02-15,154,69,0,37.33444444,0.078948148,45.08,3.413275
07-114-02-15,155,69,0,37.43333333,0.012033333,46.83666667,0.847658333
07-114-02-15,156,35,2450,37.49666667,0,47.27166667,2.071408333
07-114-02-15,157,32.5,2112.5,37.37,0.048133333,46.485,2.504925
07-114-02-15,158,59.5,24.5,37.31666667,0.025011111,45.61333333,0.278258333
07-114-02-15,159,34.5,2380.5,37.51444444,0.000948148,45.7,0.301225
07-114-02-15,160,7.5,0.5,37.41555556,0.009603704,45.525,0.1621
07-114-02-15,161,34.5,2380.5,37.47888889,0.006637037,44.90833333,0.023408333
07-117-01-17,116,39.5,3120.5,37.53222222,0.000948148,47.36,0.7081
07-117-01-17,117,38.5,2964.5,37.51444444,0.000948148,47.53666667,0.698533333
07-117-01-17,118,37,2592,37.51444444,0.000948148,47.01,2.4892
07-117-01-17,119,39,2888,37.51444444,0.000948148,46.39166667,5.581458333
07-117-01-17,120,39.5,2964.5,37.49666667,0,47.96666667,1.908433333
07-117-01-17,121,39,3042,37.51444444,0.000948148,46.835,2.486575
07-117-01-17,122,38,2888,37.53222222,0.000948148,46.57333333,1.738633333
07-117-01-17,123,39.5,2964.5,37.51444444,0.000948148,47.185,1.294825
07-117-01-17,124,38.5,2964.5,37.53222222,0.000948148,47.35666667,3.172133333
07-117-01-17,125,39,3042,37.51444444,0.000948148,47.53333333,2.067033333
07-117-01-17,126,38.5,2964.5,37.47888889,0.000948148,46.48833333,0.847658333
07-117-01-17,127,77.5,0.5,37.51444444,0.000948148,47.96666667,1.877233333
07-117-01-17,128,70.5,112.5,37.56777778,0.000948148,48.14,1.4283
07-117-01-17,129,78,0,37.60333333,0,46.75,0.7081
07-117-01-17,130,79,0,37.60333333,0,47.09666667,3.021258333
07-117-01-17,131,78,0,37.60333333,0,46.835,2.486575
07-117-01-17,132,78,0,37.63111111,0.002314815,46.4,1.1025
07-117-01-17,133,78,0,37.60333333,0,49.18,0.0867
07-117-01-17,134,39,3042,37.63111111,0.002314815,47.87166667,5.889158333
07-117-01-17,135,39,3042,37.63111111,0.002314815,47.27,3.3732
07-117-01-17,136,39,3042,37.69444444,0.00907037,46.835,2.486575
07-117-01-17,137,39,3042,37.65888889,0.002314815,46.48833333,1.125908333
