Egg.ID,Facility,Fate,Year,Treatment,Logger.ID,Pair.ID,Lay.date,Paired.date,Unpaired.date,Last.alive.day,Hatch.fail.date,Day,temp_mean,temp_var,rh_mean,rh_var,rot_mean,rot_var
07-114-02-15,ICF,Failed,2015,SHC-GQF2,I-8+P-11,9,147,147,162,177,177,148,37.45111111,0.006225926,46.315,0.643125,154,1587
07-114-02-15,ICF,Failed,2015,SHC-GQF2,I-8+P-11,9,147,147,162,177,177,149,37.45111111,0.016359259,46.22666667,0.434658333,175.6666667,1500.333333
07-114-02-15,ICF,Failed,2015,SHC-GQF2,I-8+P-11,9,147,147,162,177,177,150,37.43333333,0.012033333,47.09833333,1.122408333,177,1587
07-114-02-15,ICF,Failed,2015,SHC-GQF2,I-8+P-11,9,147,147,162,177,177,151,37.45111111,0.006225926,45.61333333,0.278258333,177,1587
07-114-02-15,ICF,Failed,2015,SHC-GQF2,I-8+P-11,9,147,147,162,177,177,152,37.46888889,0.002314815,46.31333333,0.298158333,177,1587
07-114-02-15,ICF,Failed,2015,SHC-GQF2,I-8+P-11,9,147,147,162,177,177,153,37.49666667,0,47.61833333,2.058358333,176.6666667,1633.333333
07-114-02-15,ICF,Failed,2015,SHC-GQF2,I-8+P-11,9,147,147,162,177,177,154,37.33444444,0.078948148,45.08,3.413275,177,1587
07-114-02-15,ICF,Failed,2015,SHC-GQF2,I-8+P-11,9,147,147,162,177,177,155,37.43333333,0.012033333,46.83666667,0.847658333,177,1587
07-114-02-15,ICF,Failed,2015,SHC-GQF2,I-8+P-11,9,147,147,162,177,177,156,37.49666667,0,47.27166667,2.071408333,153.3333333,1633.333333
07-114-02-15,ICF,Failed,2015,SHC-GQF2,I-8+P-11,9,147,147,162,177,177,157,37.37,0.048133333,46.485,2.504925,178.3333333,1408.333333
07-114-02-15,ICF,Failed,2015,SHC-GQF2,I-8+P-11,9,147,147,162,177,177,158,37.31666667,0.025011111,45.61333333,0.278258333,154.3333333,1192.333333
07-114-02-15,ICF,Failed,2015,SHC-GQF2,I-8+P-11,9,147,147,162,177,177,159,37.51444444,0.000948148,45.7,0.301225,177,1587
07-114-02-15,ICF,Failed,2015,SHC-GQF2,I-8+P-11,9,147,147,162,177,177,160,37.41555556,0.009603704,45.525,0.1621,134,19
07-114-02-15,ICF,Failed,2015,SHC-GQF2,I-8+P-11,9,147,147,162,177,177,161,37.47888889,0.006637037,44.90833333,0.023408333,177,1587
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,116,37.53222222,0.000948148,47.36,0.7081,175.6666667,2080.333333
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,117,37.51444444,0.000948148,47.53666667,0.698533333,176.3333333,1976.333333
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,118,37.51444444,0.000948148,47.01,2.4892,179.3333333,1752.333333
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,119,37.51444444,0.000948148,46.39166667,5.581458333,156,1951
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,120,37.49666667,0,47.96666667,1.908433333,155.3333333,2002.333333
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,121,37.51444444,0.000948148,46.835,2.486575,156,2028
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,122,37.53222222,0.000948148,46.57333333,1.738633333,156.3333333,1925.333333
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,123,37.51444444,0.000948148,47.185,1.294825,156.3333333,2002.333333
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,124,37.53222222,0.000948148,47.35666667,3.172133333,156.6666667,1976.333333
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,125,37.51444444,0.000948148,47.53333333,2.067033333,157,2028
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,126,37.47888889,0.000948148,46.48833333,0.847658333,156.6666667,1976.333333
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,127,37.51444444,0.000948148,47.96666667,1.877233333,156.3333333,2002.333333
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,128,37.56777778,0.000948148,48.14,1.4283,162,1713
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,129,37.60333333,0,46.75,0.7081,173,2028
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,130,37.60333333,0,47.09666667,3.021258333,172.3333333,2080.333333
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,131,37.60333333,0,46.835,2.486575,173,2028
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,132,37.63111111,0.002314815,46.4,1.1025,173,2028
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,133,37.60333333,0,49.18,0.0867,173,2028
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,134,37.63111111,0.002314815,47.87166667,5.889158333,199,2028
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,135,37.63111111,0.002314815,47.27,3.3732,199,2028
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,136,37.69444444,0.00907037,46.835,2.486575,199,2028
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,137,37.65888889,0.002314815,46.48833333,1.125908333,199,2028
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,138,37.65888889,0.002314815,47.27333333,0.639633333,199,2028
07-117-01-17,ICF,Hatch,2017,SHC-GQF2,P-11,9,115,115,146,146,146,139,37.63111111,0.002314815,47.005,4.569475,203.6666667,1925.333333
