"Egg","Logger","Treatment","Facility","Year","Pair.ID","Paired.date","Unpaired.date","Last.alive.date","Hatch.fail.date","Outcome"
1,10,"SHC-GQF2","ICF",2015,9,147,162,177,177,0
2,13,"SHC-GQF2","ICF",2017,9,115,146,146,146,1
3,9,"SHC-GQF2","ICF",2015,9,131,159,159,162,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,163,164,0
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,1
6,8,"SHC-WC","ICF",2016,9,130,159,160,160,1
7,6,"WC-WC","ICF",2017,13,128,155,156,156,1
8,9,"WC-WC","ICF",2017,12,121,147,147,147,1
9,7,"WC-WC","ICF",2016,11,153,171,170,171,0
10,8,"WC-WC","ICF",2015,10,117,141,145,145,1
11,9,"WC-WC","ICF",2016,10,118,145,146,146,1
12,2,"WC-WC","CZ",2016,4,105,133,134,134,1
13,14,"WC-WC","Patuxent",2017,25,119,144,129,144,0
14,16,"WC-SHC","Patuxent",2016,25,119,140,146,146,1
15,22,"WC-WC","Patuxent",2016,25,118,139,118,139,0
16,4,"WC-WC","CZ",2017,8,136,163,166,166,1
17,4,"SHC-B","CZ",2016,6,94,110,108,110,0
18,4,"SHC-B","CZ",2016,6,103,126,126,126,1
19,1,"WC-SHC","CZ",2017,7,145,166,173,173,1
20,4,"SHC-B","CZ",2016,1,108,122,115,122,0
21,2,"SHC-B","CZ",2014,1,167,188,196,196,1
22,2,"SHC-SHC","CZ",2016,1,148,175,176,176,1
23,2,"SHC-B","CZ",2014,1,167,188,199,199,1
24,1,"SHC-B","CZ",2016,1,148,177,177,177,1
25,1,"WC-SHC","CZ",2015,2,95,109,123,124,0
26,3,"WC-SHC","CZ",2016,5,110,132,139,139,1
27,2,"WC-SHC","CZ",2014,2,129,131,157,157,1
28,3,"WC-WC","CZ",2015,2,139,159,146,159,0
29,4,"WC-SHC","CZ",2015,2,139,160,167,168,0
30,5,"SHC-B","CZ",2016,3,137,150,143,150,0
31,3,"SHC-SHC","CZ",2016,3,140,159,147,159,0
32,3,"SHC-SHC","CZ",2019,3,141,159,159,159,1
33,3,"SHC-SHC","CZ",2015,3,182,196,182,196,0
34,15,"SHC-P","Patuxent",2014,14,129,139,141,141,1
35,21,"SHC-GQF1","Patuxent",2014,14,129,140,141,141,1
36,19,"SHC-SHC","Patuxent",2014,14,141,162,163,163,1
37,12,"SHC-GQF2","Patuxent",2015,20,100,118,100,118,0
38,18,"SHC-SHC","Patuxent",2015,20,100,125,128,128,1
39,21,"SHC-GQF1","Patuxent",2014,15,129,137,138,138,1
40,11,"SHC-GQF1","Patuxent",2017,15,108,132,134,134,1
41,15,"SHC-GQF2","Patuxent",2017,15,108,135,135,135,0
42,15,"SHC-SHC","Patuxent",2015,15,136,155,159,159,1
43,14,"SHC-WC","Patuxent",2015,15,136,157,162,162,1
44,21,"SHC-GQF1","Patuxent",2015,21,132,156,156,156,1
45,20,"SHC-P","Patuxent",2015,21,132,156,158,158,1
46,12,"SHC-P","Patuxent",2014,17,147,150,151,151,1
47,20,"SHC-P","Patuxent",2015,16,120,145,146,146,1
48,15,"SHC-GQF2","Patuxent",2017,16,122,143,143,144,0
49,12,"SHC-GQF2","Patuxent",2015,16,120,150,150,150,0
50,11,"SHC-GQF1","Patuxent",2017,16,122,152,122,152,0
51,17,"SHC-SHC","Patuxent",2015,16,154,176,179,179,1
52,21,"SHC-GQF1","Patuxent",2015,16,154,176,176,176,1
53,21,"SHC-GQF1","Patuxent",2014,16,129,150,150,151,0
54,14,"SHC-SHC","Patuxent",2016,16,166,187,191,191,1
55,12,"SHC-P","Patuxent",2014,16,145,171,172,172,1
56,11,"SHC-GQF1","Patuxent",2016,16,166,187,188,188,1
57,21,"SHC-GQF1","Patuxent",2015,17,112,139,140,140,1
58,15,"SHC-SHC","Patuxent",2015,17,174,192,199,199,1
59,12,"SHC-GQF2","Patuxent",2015,17,174,195,197,197,1
60,19,"WC-SHC","Patuxent",2017,27,109,137,138,138,1
61,17,"WC-SHC","Patuxent",2017,27,111,137,140,140,1
62,11,"WC-SHC","Patuxent",2015,18,135,160,163,163,1
63,16,"SHC-SHC","Patuxent",2017,26,122,144,151,151,1
64,18,"SHC-SHC","Patuxent",2017,28,122,148,151,151,1
65,15,"SHC-GQF2","Patuxent",2017,26,122,152,122,152,0
66,15,"SHC-GQF2","Patuxent",2016,24,112,139,141,141,1
67,18,"SHC-SHC","Patuxent",2016,24,112,138,142,142,1
68,19,"SHC-SHC","Patuxent",2016,24,114,140,143,143,1
69,21,"SHC-P","Patuxent",2016,23,96,121,96,121,0
70,11,"SHC-GQF1","Patuxent",2016,23,96,125,126,126,1
71,16,"SHC-SHC","Patuxent",2015,19,129,152,156,156,1
72,21,"SHC-GQF1","Patuxent",2015,19,129,155,157,157,1
73,17,"SHC-SHC","Patuxent",2015,19,123,147,150,150,1
74,21,"SHC-GQF1","Patuxent",2015,22,123,151,152,152,1
