Egg.ID,Logger,Egg.type,Treatment,Egg.treatment,Facility,Year,Pair.ID,Paired.date,Unpaired.date,Last.alive.date,Hatch.fail.date,outcome
07-114-02-15,10,SHC,GQF2,SHC-GQF2,ICF,2015,9,147,162,177,177,0
07-117-01-17,13,SHC,GQF2,SHC-GQF2,ICF,2017,9,115,146,146,146,1
07-117-03-15,9,SHC,GQF2,SHC-GQF2,ICF,2015,9,131,159,159,162,0
07-117-04-15,9,SHC,GQF2,SHC-GQF2,ICF,2015,9,134,162,163,164,0
07-117-05-15,7,SHC,WC,SHC-WC,ICF,2015,9,146,168,176,176,1
07-117-05-16,8,SHC,WC,SHC-WC,ICF,2016,9,130,159,160,160,1
13-116-06-17,6,WC,WC,WC-WC,ICF,2017,13,128,155,156,156,1
13-144-04-17,9,WC,WC,WC-WC,ICF,2017,12,121,147,147,147,1
13-35-05-16,7,WC,WC,WC-WC,ICF,2016,11,153,171,170,171,0
13-46-03-15,8,WC,WC,WC-WC,ICF,2015,10,117,141,145,145,1
13-46-04-16,9,WC,WC,WC-WC,ICF,2016,10,118,145,146,146,1
A1-2-16,2,WC,WC,WC-WC,CZ,2016,4,105,133,134,134,1
B5#6,14,WC,WC,WC-WC,Patuxent,2017,25,119,144,129,144,0
B6#3,16,WC,SHC,WC-SHC,Patuxent,2016,25,119,140,146,146,1
B6#4,22,WC,WC,WC-WC,Patuxent,2016,25,118,139,118,139,0
BL3-1-17,4,WC,WC,WC-WC,CZ,2017,8,136,163,166,166,1
DO1-1-16,4,SHC,B,SHC-B,CZ,2016,6,94,110,108,110,0
DO1-2-16,4,SHC,B,SHC-B,CZ,2016,6,103,126,126,126,1
IN3-1-17,1,WC,SHC,WC-SHC,CZ,2017,7,145,166,173,173,1
MD1-2-16,4,SHC,B,SHC-B,CZ,2016,1,108,122,115,122,0
MD2-1-14,2,SHC,B,SHC-B,CZ,2014,1,167,188,196,196,1
MD2-1-16,2,SHC,SHC,SHC-SHC,CZ,2016,1,148,175,176,176,1
MD2-2-14,2,SHC,B,SHC-B,CZ,2014,1,167,188,199,199,1
MD2-2-16,1,SHC,B,SHC-B,CZ,2016,1,148,177,177,177,1
N1-1-15,1,WC,SHC,WC-SHC,CZ,2015,2,95,109,123,124,0
N2-1-16,3,WC,SHC,WC-SHC,CZ,2016,5,110,132,139,139,1
N2-3-14,2,WC,SHC,WC-SHC,CZ,2014,2,129,131,157,157,1
N4-1-15,3,WC,WC,WC-WC,CZ,2015,2,139,159,146,159,0
N4-2-15,4,WC,SHC,WC-SHC,CZ,2015,2,139,160,167,168,0
PS2-1-16,5,SHC,B,SHC-B,CZ,2016,3,137,150,143,150,0
PS2-2-16,3,SHC,SHC,SHC-SHC,CZ,2016,3,140,159,147,159,0
PS2-2-19,3,SHC,SHC,SHC-SHC,CZ,2019,3,141,159,159,159,1
PS3-2-15,3,SHC,SHC,SHC-SHC,CZ,2015,3,182,196,182,196,0
R23#1,15,SHC,P,SHC-P,Patuxent,2014,14,129,139,141,141,1
R23#2,21,SHC,GQF1,SHC-GQF1,Patuxent,2014,14,129,140,141,141,1
R23#4/3,19,SHC,SHC,SHC-SHC,Patuxent,2014,14,141,162,163,163,1
R30#1,12,SHC,GQF2,SHC-GQF2,Patuxent,2015,20,100,118,100,118,0
R30#2,18,SHC,SHC,SHC-SHC,Patuxent,2015,20,100,125,128,128,1
R33#2.3,21,SHC,GQF1,SHC-GQF1,Patuxent,2014,15,129,137,138,138,1
R34#1,11,SHC,GQF1,SHC-GQF1,Patuxent,2017,15,108,132,134,134,1
R34#2,15,SHC,GQF2,SHC-GQF2,Patuxent,2017,15,108,135,135,135,0
R34#3,15,SHC,SHC,SHC-SHC,Patuxent,2015,15,136,155,159,159,1
R34#4,14,SHC,WC,SHC-WC,Patuxent,2015,15,136,157,162,162,1
R6#5,21,SHC,GQF1,SHC-GQF1,Patuxent,2015,21,132,156,156,156,1
R6#6,20,SHC,P,SHC-P,Patuxent,2015,21,132,156,158,158,1
S1#2,12,SHC,P,SHC-P,Patuxent,2014,17,147,150,151,151,1
S17#1,20,SHC,P,SHC-P,Patuxent,2015,16,120,145,146,146,1
S17#1.2,15,SHC,GQF2,SHC-GQF2,Patuxent,2017,16,122,143,143,144,0
S17#2,12,SHC,GQF2,SHC-GQF2,Patuxent,2015,16,120,150,150,150,0
S17#2.2,11,SHC,GQF1,SHC-GQF1,Patuxent,2017,16,122,152,122,152,0
S17#3,17,SHC,SHC,SHC-SHC,Patuxent,2015,16,154,176,179,179,1
S17#4,21,SHC,GQF1,SHC-GQF1,Patuxent,2015,16,154,176,176,176,1
S18#2,21,SHC,GQF1,SHC-GQF1,Patuxent,2014,16,129,150,150,151,0
S18#3,14,SHC,SHC,SHC-SHC,Patuxent,2016,16,166,187,191,191,1
S18#4.2,11,SHC,GQF1,SHC-GQF1,Patuxent,2016,16,166,187,188,188,1
S2#2,21,SHC,GQF1,SHC-GQF1,Patuxent,2015,17,112,139,140,140,1
S2#5,15,SHC,SHC,SHC-SHC,Patuxent,2015,17,174,192,199,199,1
S2#6,12,SHC,GQF2,SHC-GQF2,Patuxent,2015,17,174,195,197,197,1
S32#1,19,WC,SHC,WC-SHC,Patuxent,2017,27,109,137,138,138,1
S32#2,17,WC,SHC,WC-SHC,Patuxent,2017,27,111,137,140,140,1
T7#2,11,WC,SHC,WC-SHC,Patuxent,2015,18,135,160,163,163,1
Y16#1,16,SHC,SHC,SHC-SHC,Patuxent,2017,26,122,144,151,151,1
Y16#1g,18,SHC,SHC,SHC-SHC,Patuxent,2017,28,122,148,151,151,1
Y16#2,15,SHC,GQF2,SHC-GQF2,Patuxent,2017,26,122,152,122,152,0
Y17#1b,15,SHC,GQF2,SHC-GQF2,Patuxent,2016,24,112,139,141,141,1
Y17#1g,18,SHC,SHC,SHC-SHC,Patuxent,2016,24,112,138,142,142,1
Y17#2b,19,SHC,SHC,SHC-SHC,Patuxent,2016,24,114,140,143,143,1
Y27#1,21,SHC,P,SHC-P,Patuxent,2016,23,96,121,96,121,0
Y27#2,11,SHC,GQF1,SHC-GQF1,Patuxent,2016,23,96,125,126,126,1
Y34#3,16,SHC,SHC,SHC-SHC,Patuxent,2015,19,129,152,156,156,1
Y34#4,21,SHC,GQF1,SHC-GQF1,Patuxent,2015,19,129,155,157,157,1
Y42#4,17,SHC,SHC,SHC-SHC,Patuxent,2015,19,123,147,150,150,1
Y42#5,21,SHC,GQF1,SHC-GQF1,Patuxent,2015,22,123,151,152,152,1
