Egg.ID,mean_num_position_changes,position_var,temp_mean,temp_var,rh_mean,rh_var,Facility,Fate,Fate_Treatment,Year,Egg_Treatment,Treatment,Treatment2,Egg type,Logger.ID,Pair.ID,Hatch.Assisted,Lay.date,Egg.age.pairing,Egg.age.at.hatch.fail,Paired.date,Unpaired.date,Hatch.fail.date,Comment
MD2-1-14,0.388118812,30.09479683,34.1542591,2.124330641,34.74966414,6.729843327,CZ,Hatched,Hatched B,2014,SHC-B,B,AI,SHC,CZ-2,1,N,163,4,33,167,188,196,
MD2-2-14,0.388118812,30.09479683,34.1542591,2.124330641,34.74966414,6.729843327,CZ,Hatched,Hatched B,2014,SHC-B,B,AI,SHC,CZ-2,1,N,166,1,33,167,188,199,
N2-3-14,2.596491228,547.6618607,30.37541121,6.547681499,40.73092735,55.63747953,CZ,Hatched,Hatched SHC,2014,WC-SHC,SHC,NI,WC,CZ-2,2,N,129,0,28,129,131,157,
N1-1-15,2.120481928,599.1131892,31.35598415,5.800066539,36.69381693,63.83645285,CZ,Failed,Failed SHC,2015,WC-SHC,SHC,NI,WC,CZ-1,2,No,95,0,29,95,109,124,
N4-1-15,5.112970711,1484.980949,32.89964934,7.367366581,50.61948633,112.6802866,CZ,Failed,Failed WC,2015,WC-WC,WC,NI,WC,CZ-3,2,NA,135,4,24,139,159,159,"<159 in notes, last noted as fertile on 146"
PS3-2-15,3.212307692,974.0057125,34.17618556,18.86056164,52.42398552,106.8574993,CZ,Failed,Failed SHC,2015,SHC-SHC,SHC,NI,SHC,CZ-3,3,NA,173,9,23,182,196,196,
N4-2-15,2.748,926.7920703,33.35159105,5.743291305,43.56048367,77.33357568,CZ,Failed,Failed SHC,2015,WC-SHC,SHC,NI,WC,CZ-4,2,NA,138,1,30,139,160,168,
MD2-2-16,0.497126437,140.8382461,36.38329909,1.693577372,41.11618991,42.73675151,CZ,Hatched,Hatched B,2016,SHC-B,B,AI,SHC,CZ-1,1,No,148,0,29,148,177,177,
A1-2-16,4.276315789,1440.187469,33.06319122,5.642609084,53.37779314,39.46293702,CZ,Hatched,Hatched WC,2016,WC-WC,WC,NI,WC,CZ-2,4,No,104,1,30,105,133,134,
MD2-1-16,3.195454545,801.2678988,34.05256997,5.061484766,51.02029321,28.25640841,CZ,Hatched,Hatched SHC,2016,SHC-SHC,SHC,NI,SHC,CZ-2,1,No,145,3,31,148,175,176,
